,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_km,Time_Differece_in_minutes
36,34.0,4.6,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,17,1.5369113551350593,584.99999998
37,34.0,4.7,Windy,Jam,1,Meal,scooter,1.0,No,Urban,30,7.763183552897837,15.0
38,29.0,4.7,Sunny,Medium,1,Buffet,scooter,0.0,No,Urban,13,6.049834150687609,5.0
39,26.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,8.93786088183146,10.0
40,35.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,33,9.348403522662323,15.0
41,27.0,4.6,Windy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,17,6.232321450753526,5.0
42,32.0,4.6,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,42,12.419632405531052,10.0
43,33.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,3.073660615290314,-622.50000002
44,32.0,4.1,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,3.11620371432348,10.0
45,23.0,4.8,Sandstorms,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,1.5322753274864631,15.0
46,20.0,4.9,Windy,Low,1,Drinks,scooter,0.0,No,Urban,16,20.44292976252901,1327.50000002
47,36.0,4.6,Windy,Medium,1,Drinks,scooter,1.0,No,Urban,30,19.36258018346589,5.0
48,20.0,5.0,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,13.681631975373575,5.0
49,33.0,4.3,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,7.683253857182166,-60.0
50,39.0,4.6,Stormy,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,26,4.674333788013509,10.0
51,37.0,4.7,Stormy,High,2,Buffet,scooter,1.0,No,Metropolitian,27,6.210060323088704,15.0
52,34.0,4.6,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,32,19.61891834747988,5.0
53,24.0,4.9,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,19,19.65875217196504,5.0
54,29.0,4.6,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,10.80698327657689,10.0
55,21.0,4.6,Fog,High,0,Drinks,motorcycle,0.0,No,Urban,20,6.050103074349793,877.5
56,28.0,4.7,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,15,14.15280068944862,5.0
57,20.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,16,4.681878121614589,15.0
58,25.0,4.8,Windy,Medium,2,Snack,scooter,1.0,No,Urban,21,6.147106622705506,10.0
59,34.0,4.9,Stormy,High,1,Drinks,scooter,1.0,No,Urban,27,1.5147814055665174,15.0
60,36.0,3.8,Sandstorms,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,36,10.757108800258132,10.0
61,39.0,4.8,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,29,7.683355299930933,15.0
62,31.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,16,1.5527821295482669,5.0
63,38.0,4.7,Stormy,Low,1,Drinks,motorcycle,1.0,No,Urban,26,7.44864451602914,5.0
64,30.0,4.7,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,28,9.348109676504626,5.0
65,34.0,3.8,Windy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,38,13.972194586930332,5.0
66,32.0,4.7,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,20,9.348403335334272,10.0
67,39.0,4.1,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,9.178296996538572,-1202.5
68,37.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,16,1.5368588631561615,15.0
69,29.0,4.7,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,2.9375685899810504,-627.50000002
70,38.0,3.8,Sandstorms,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,11.917779612813971,5.0
71,30.0,4.6,Windy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,29,10.867285240714487,-1077.49999998
72,36.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,30,17.078706390631634,5.0
73,36.0,4.2,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,49,17.09799694004444,5.0
74,39.0,4.2,Fog,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,49,14.022268860182423,5.0
75,24.0,4.5,Cloudy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,28,16.6594405791231,10.0
76,28.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,3.061134013686177,5.0
77,22.0,4.6,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,25,6.209476177667662,-847.5
78,23.0,4.6,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,27,4.579050685145385,10.0
79,31.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,54,20.44292976252901,15.0
80,24.0,4.8,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,18,20.83116701416461,5.0
81,31.0,5.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Urban,25,4.596317855297838,5.0
82,23.0,4.5,Cloudy,Jam,1,Snack,scooter,0.0,No,Metropolitian,22,9.348403335334272,1212.5
83,35.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,7.761160094160204,10.0
84,30.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,21,3.073787868356216,5.0
85,29.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,12,7.772809995408273,10.0
86,26.0,5.0,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,3.145067434621583,5.0
87,29.0,4.3,Stormy,Low,0,Buffet,motorcycle,0.0,No,Urban,17,3.052706857073023,15.0
88,20.0,4.9,Sunny,Low,0,Snack,motorcycle,0.0,No,Urban,17,3.109059104393369,15.0
89,37.0,4.0,Stormy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,34,3.025098484224574,695.0
90,21.0,4.6,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,9.121499067661924,15.0
91,23.0,4.9,Fog,High,1,Drinks,scooter,0.0,No,Metropolitian,22,2.979763497462109,10.0
92,23.0,4.2,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,35,20.252967850083056,5.0
93,22.0,4.8,Cloudy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,25,6.118933768642428,15.0
94,36.0,4.0,Fog,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,38,13.413644078076244,5.0
95,25.0,5.0,Fog,Low,1,Meal,scooter,0.0,No,Urban,10,4.65715978228187,-60.0
96,30.0,4.5,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Urban,31,13.97205302455759,10.0
97,27.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,17,16.659974055073302,10.0
98,37.0,4.8,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Urban,15,7.862668167410368,5.0
99,28.0,5.0,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,33,16.72211837577326,1279.99999998
100,37.0,3.9,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,37,19.362740471251666,15.0
101,35.0,5.0,Stormy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,38,7.562982485200135,15.0
102,35.0,4.6,Stormy,Low,2,Snack,electric_scooter,0.0,No,Urban,15,13.972194586930332,10.0
103,20.0,4.6,Fog,Jam,2,Buffet,motorcycle,0.0,No,Urban,21,4.469351491411031,10.0
104,21.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,29,3.105364544907298,10.0
105,37.0,4.8,Sandstorms,Low,1,Meal,scooter,0.0,No,Metropolitian,22,4.469351491411031,-1365.0
106,30.0,4.7,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,19,3.025279772423236,5.0
107,36.0,4.0,Stormy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,33,7.6838087174265155,15.0
108,34.0,4.7,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,34,17.07799287216204,1107.49999998
109,34.0,4.9,Cloudy,Medium,1,Drinks,scooter,0.0,No,Urban,17,7.649506318328791,5.0
110,35.0,4.9,Cloudy,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,42,14.02323208308448,10.0
111,36.0,4.2,Stormy,High,1,Drinks,scooter,1.0,No,Metropolitian,32,6.210168035777162,15.0
112,27.0,4.8,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,12,12.580267822400964,10.0
113,26.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,30,16.645145383443758,-1082.49999998
114,34.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,24,9.17632585467143,10.0
115,27.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,20,16.852118690780628,5.0
116,22.0,4.7,Windy,Jam,2,Snack,scooter,1.0,No,Urban,10,9.315071060294844,5.0
117,27.0,4.6,Cloudy,Medium,2,Buffet,scooter,1.0,No,Urban,14,4.527973054243058,10.0
118,33.0,4.3,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,43,16.90295553948897,15.0
119,37.0,4.7,Sunny,Low,2,Snack,scooter,1.0,No,Urban,12,1.5148048951935007,5.0
120,20.0,4.5,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,1.4923480030639218,5.0
121,21.0,4.8,Sandstorms,Low,1,Drinks,scooter,1.0,No,Urban,11,12.419850660252768,10.0
122,30.0,4.8,Stormy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,33,9.314862687658117,10.0
123,26.0,5.0,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29,8.937527873529229,5.0
124,20.0,4.6,Stormy,Medium,2,Snack,motorcycle,0.0,No,Urban,25,10.586595268060286,15.0
125,29.0,4.9,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,28,4.663419307399213,10.0
126,38.0,4.1,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,30,1.4922901835795404,5.0
127,39.0,4.9,Windy,Low,2,Snack,scooter,0.0,No,Urban,24,7.724074530277346,10.0
128,36.0,4.7,Cloudy,Medium,2,Meal,scooter,0.0,No,Urban,16,6.29013467763468,10.0
129,35.0,4.2,Windy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,33,16.600272418856072,10.0
131,29.0,4.6,Sunny,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,17,19.88015786997755,10.0
132,23.0,4.6,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,23,5.952943315709552,15.0
133,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,16,17.29786575291325,10.0
134,30.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,30,3.029527086813746,-564.99999998
135,24.0,4.7,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,12,9.348325936764454,15.0
136,34.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,30,9.314907489514155,15.0
137,37.0,4.5,Sunny,Jam,2,Snack,electric_scooter,1.0,No,Urban,20,9.435201537430714,15.0
138,36.0,4.8,Sandstorms,Low,1,Drinks,scooter,1.0,No,Urban,26,7.761199672759851,5.0
139,30.0,4.8,Cloudy,Low,2,Meal,scooter,0.0,No,Metropolitian,17,1.5091393275325462,15.0
140,37.0,4.5,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,29,3.073782598017619,10.0
141,22.0,4.9,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,28,17.138077427627866,15.0
142,26.0,4.8,Sandstorms,High,2,Meal,motorcycle,0.0,No,Metropolitian,14,6.209485128886319,5.0
143,31.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,18,4.560783589287684,5.0
144,22.0,4.8,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,23,6.29013467763468,15.0
145,39.0,4.2,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,44,1.5125976112065025,15.0
146,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,12.074047498027577,10.0
147,23.0,4.9,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,15,1.5293705867132357,-507.5
148,39.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,23,9.31399060766806,5.0
149,30.0,4.6,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,26,6.147194518583352,15.0
150,33.0,4.3,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,48,13.828140500409722,15.0
151,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,7.862668167410368,15.0
152,28.0,3.7,Sunny,Jam,0,Meal,motorcycle,1.0,No,Semi-Urban,49,8.790990992588457,10.0
153,21.0,3.7,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,45,7.772039544673178,5.0
154,25.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,3.025332706173566,5.0
155,33.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,24,7.772038818805718,-1145.00000002
156,33.0,4.7,Fog,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,16,1.4898423067405666,-617.50000002
157,27.0,4.6,Windy,Low,1,Snack,scooter,0.0,No,Metropolitian,11,1.5582406301371106,579.99999998
158,24.0,4.5,Sunny,High,2,Snack,electric_scooter,0.0,No,Urban,10,1.5524171298912166,15.0
159,30.0,3.8,Stormy,Jam,2,Snack,motorcycle,1.0,No,Urban,40,16.720678992752937,10.0
160,24.0,4.5,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,12.236790662986138,15.0
161,21.0,4.9,Sunny,Low,1,Buffet,scooter,1.0,No,Urban,16,7.862668167410368,5.0
162,37.0,4.0,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,34,4.717601092054723,5.0
163,26.0,5.0,Sunny,Medium,0,Snack,motorcycle,1.0,No,Urban,19,5.958771662511523,10.0
164,27.0,4.8,Sandstorms,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,14,6.20919924806096,10.0
165,35.0,4.5,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,31,13.788747286078188,-1140.00000002
166,31.0,4.9,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,42,10.587113705075843,5.0
167,36.0,4.4,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,10.756415548797705,5.0
168,30.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,40,16.851045489710874,10.0
169,27.0,4.6,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,26,6.080891507842322,5.0
170,30.0,4.3,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,31,3.0644638558352577,10.0
171,31.0,5.0,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,28,4.540575857362341,15.0
172,24.0,4.5,Fog,Low,2,Meal,electric_scooter,0.0,No,Urban,15,1.5526968797445757,15.0
173,33.0,4.7,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,1.552761506023859,-559.99999998
174,28.0,4.6,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,10.75638385340382,5.0
175,24.0,4.6,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,20.886038531979622,10.0
176,29.0,5.0,Sunny,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,29,16.660108123693192,15.0
177,28.0,5.0,Stormy,High,2,Drinks,motorcycle,1.0,No,Metropolitian,25,3.040570257157668,10.0
178,34.0,4.2,Cloudy,Jam,1,Drinks,scooter,2.0,No,Metropolitian,40,19.36338289365832,10.0
179,34.0,4.7,Windy,Low,2,Buffet,electric_scooter,1.0,No,Urban,26,7.862668167410368,10.0
180,21.0,4.9,Stormy,High,1,Buffet,scooter,0.0,No,Metropolitian,28,6.147215320061788,15.0
181,32.0,4.7,Stormy,Jam,1,Drinks,scooter,0.0,No,Urban,26,19.36258018346589,10.0
182,35.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Urban,17,1.4897768153112216,5.0
183,34.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,33,9.313017158714828,1274.99999998
184,23.0,4.7,Sandstorms,Medium,2,Drinks,scooter,0.0,No,Metropolitian,28,12.293508819559184,10.0
185,38.0,4.0,Fog,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,40,10.562878909252843,5.0
186,30.0,4.6,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,6.21086415606354,10.0
187,22.0,4.3,Cloudy,Jam,2,Buffet,electric_scooter,2.0,No,Metropolitian,42,10.867300462045836,15.0
188,38.0,5.0,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,16,4.56126563284071,-60.0
189,35.0,4.1,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,40,12.256687342592269,1040.0
191,37.0,4.1,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,35,19.39519667428027,10.0
192,34.0,4.9,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,22,4.46931202175492,5.0
193,26.0,4.6,Stormy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,20,13.82967763210672,10.0
194,23.0,4.4,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36,16.82066030021692,5.0
195,39.0,4.5,Sandstorms,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,29,19.4716053440582,5.0
196,37.0,4.6,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,15,9.181151801248024,1217.5
197,35.0,4.7,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,28,4.596698554557205,-60.0
198,31.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,17,4.717601092054723,15.0
199,35.0,4.9,Windy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,26,6.175440417126042,5.0
200,22.0,5.0,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,17,9.22031682218032,15.0
201,33.0,4.0,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,9.192571532077611,5.0
202,23.0,4.9,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,10.64228895373868,10.0
203,24.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,18,3.109059104393369,15.0
204,20.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,13,10.72465156807538,5.0
205,37.0,4.4,Cloudy,Jam,2,Drinks,scooter,0.0,No,Urban,35,12.236322809891128,10.0
206,33.0,4.6,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,12.1610162189127,15.0
207,36.0,4.7,Stormy,High,0,Snack,motorcycle,1.0,No,Urban,40,6.232139486668102,15.0
208,37.0,4.6,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,26,1.5147885720051273,15.0
209,29.0,4.6,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Urban,21,19.760080920474557,1050.0
210,30.0,5.0,Sunny,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,3.026096197898999,10.0
211,25.0,4.0,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,7.567362984077063,-1375.0
212,34.0,4.9,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21,7.771834302405086,15.0
213,20.0,4.5,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,42,13.973037056670602,15.0
214,34.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,29,4.53013588790832,15.0
215,30.0,4.7,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,25,16.600361127912656,5.0
216,37.0,4.6,Cloudy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30,20.179033045443177,-1020.0
217,24.0,4.9,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,20,6.20919924806096,-909.99999998
218,22.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Urban,30,9.31563208704705,15.0
219,35.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,20,3.1050761845074675,-622.50000002
220,23.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,42,20.851771383105145,1217.5
221,21.0,4.4,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,34,20.44292976252901,5.0
222,30.0,4.8,Cloudy,Low,1,Snack,motorcycle,0.0,No,Urban,15,9.26469640391466,-1307.50000002
223,37.0,4.4,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20.181172140809306,1332.50000002
224,39.0,4.6,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29,3.1162419915691597,10.0
225,36.0,5.0,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,44,16.368320331067043,15.0
226,32.0,3.7,Stormy,Medium,2,Buffet,scooter,2.0,No,Metropolitian,33,20.181161774852512,-1020.0
227,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,7.562980271914233,15.0
228,32.0,4.6,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,10.756770071391887,10.0
229,22.0,4.5,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,29,4.537601588065108,10.0
230,29.0,4.6,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,34,16.381598593369365,15.0
231,26.0,4.9,Cloudy,High,1,Buffet,motorcycle,0.0,No,Urban,23,3.0188284633848217,15.0
232,33.0,4.4,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,42,12.435540495461442,5.0
233,26.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,1.572533729286321,10.0
234,23.0,4.6,Windy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,24,9.12210553959038,-1082.49999998
236,33.0,4.0,Cloudy,Low,0,Buffet,motorcycle,1.0,Yes,Metropolitian,43,12.436148456121032,10.0
237,37.0,4.2,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,31,19.65875217196504,5.0
239,24.0,4.0,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,35,19.88336063154586,10.0
240,35.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,37,7.562921044749782,5.0
241,33.0,4.9,Stormy,High,0,Snack,motorcycle,1.0,No,Metropolitian,36,3.0271555543869777,15.0
242,30.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,15,7.803044762988818,15.0
243,32.0,4.8,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,42,12.256687342592269,10.0
244,33.0,4.9,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,23,1.554543733521478,10.0
